 <ἀλ ἀλλ λλα λα> <ἀλλ ἀλλα λλα> <ἀλλα ἀλλα> <γα γαρ αρ> <γαρ γαρ> <γαρ> <ὠ>   <ἀν ἀνδ νδρ δρε ρες ες> <ἀνδ ἀνδρ νδρε δρες ρες> <ἀνδρ ἀνδρε νδρες δρες> <Ἀθ Ἀθη θην ηνα ναι αιο ιοι οι> <Ἀθη Ἀθην θηνα ηναι ναιο αιοι ιοι> <Ἀθην Ἀθηνα θηναι ηναιο ναιοι αιοι> <το του ουτ υτο το> <του τουτ ουτο υτο> <τουτ τουτο ουτο> <με μεν εν> <μεν μεν> <μεν> <ἠδ ἠδη δη> <ἠδη ἠδη> <ἠδη> <δη δηλ ηλο λον ον> <δηλ δηλο ηλον λον> <δηλο δηλον ηλον> <οὑ οὑγ ὑγω γω> <οὑγ οὑγω ὑγω> <οὑγω οὑγω> <ἐλ ἐλε λεγ εγο γον ον> <ἐλε ἐλεγ λεγο εγον γον> <ἐλεγ ἐλεγο λεγον εγον> <ὁτ ὁτι τι> <ὁτι ὁτι> <ὁτι> <Με Μελ ελη λητ ητῳ τῳ> <Μελ Μελη ελητ λητῳ ητῳ> <Μελη Μελητ ελητῳ λητῳ> <το του ουτ υτω των ων> <του τουτ ουτω υτων των> <τουτ τουτω ουτων υτων> <οὐ οὐτ ὐτε τε> <οὐτ οὐτε ὐτε> <οὐτε οὐτε> <με μεγ εγα γα> <μεγ μεγα εγα> <μεγα μεγα> <οὐ οὐτ ὐτε τε> <οὐτ οὐτε ὐτε> <οὐτε οὐτε> <μι μικ ικρ κρο ρον ον> <μικ μικρ ικρο κρον ρον> <μικρ μικρο ικρον κρον> <πω πωπ ωπο ποτ οτε τε> <πωπ πωπο ωποτ ποτε οτε> <πωπο πωποτ ωποτε ποτε> <ἐμ ἐμε μελ ελη λησ ησε σεν εν> <ἐμε ἐμελ μελη ελησ λησε ησεν σεν> <ἐμελ ἐμελη μελησ ελησε λησεν ησεν>	plato
 <οὐ οὐδ ὐδε δε> <οὐδ οὐδε ὐδε> <οὐδε οὐδε> <γα γαρ αρ> <γαρ γαρ> <γαρ> <ἀν ἀν> <ἀν>  <δη δηπ ηπο που ου> <δηπ δηπο ηπου που> <δηπο δηπου ηπου> <πρ πρε ρεπ επο ποι οι> <πρε πρεπ ρεπο εποι ποι> <πρεπ πρεπο ρεποι εποι> <ὠ>   <ἀν ἀνδ νδρ δρε ρες ες> <ἀνδ ἀνδρ νδρε δρες ρες> <ἀνδρ ἀνδρε νδρες δρες> <τῃ τῃδ ῃδε δε> <τῃδ τῃδε ῃδε> <τῃδε τῃδε> <τῃ τῃ> <τῃ>  <ἡλ ἡλι λικ ικι κιᾳ ιᾳ> <ἡλι ἡλικ λικι ικιᾳ κιᾳ> <ἡλικ ἡλικι λικιᾳ ικιᾳ> <ὡσ ὡσπ σπε περ ερ> <ὡσπ ὡσπε σπερ περ> <ὡσπε ὡσπερ σπερ> <με μει ειρ ιρα ρακ ακι κιῳ ιῳ> <μει μειρ ειρα ιρακ ρακι ακιῳ κιῳ> <μειρ μειρα ειρακ ιρακι ρακιῳ ακιῳ> <πλ πλα λατ αττ ττο τον οντ ντι τι> <πλα πλατ λαττ αττο ττον τοντ οντι ντι> <πλατ πλαττ λαττο αττον ττοντ τοντι οντι> <λο λογ ογο γου ους υς> <λογ λογο ογου γους ους> <λογο λογου ογους γους> <εἰ εἰς ἰς> <εἰς εἰς> <εἰς> <ὑμ ὑμα μας ας> <ὑμα ὑμας μας> <ὑμας ὑμας> <εἰ εἰσ ἰσι σιε ιεν ενα ναι αι> <εἰσ εἰσι ἰσιε σιεν ιενα εναι ναι> <εἰσι εἰσιε ἰσιεν σιενα ιεναι εναι>	plato
 <ἐα ἐαν αν> <ἐαν ἐαν> <ἐαν> <δε δε> <δε>  <μη μη> <μη>  <ἀπ ἀπε πελ ελα λαυ αυν υνω νω> <ἀπε ἀπελ πελα ελαυ λαυν αυνω υνω> <ἀπελ ἀπελα πελαυ ελαυν λαυνω αυνω> <οἱ οἱ> <οἱ>  <το του ουτ υτω των ων> <του τουτ ουτω υτων των> <τουτ τουτω ουτων υτων> <πα πατ ατε τερ ερε ρες ες> <πατ πατε ατερ τερε ερες ρες> <πατε πατερ ατερε τερες ερες> <δε δε> <δε>  <κα και αι> <και και> <και> <οἰ οἰκ ἰκε κει ειο ιοι οι> <οἰκ οἰκε ἰκει κειο ειοι ιοι> <οἰκε οἰκει ἰκειο κειοι ειοι> <δι διʼ ιʼ> <διʼ διʼ> <διʼ> <αὐ αὐτ ὐτο του ους υς> <αὐτ αὐτο ὐτου τους ους> <αὐτο αὐτου ὐτους τους> <το του ουτ υτο του ους υς> <του τουτ ουτο υτου τους ους> <τουτ τουτο ουτου υτους τους>	plato
 <τι τιθ ιθη θημ ημι μι> <τιθ τιθη ιθημ θημι ημι> <τιθη τιθημ ιθημι θημι> <γα γαρ αρ> <γαρ γαρ> <γαρ> <σε σε> <σε>  <ὁμ ὁμο μολ ολο λογ ογο γου ουν υντ ντα τα> <ὁμο ὁμολ μολο ολογ λογο ογου γουν ουντ υντα ντα> <ὁμολ ὁμολο μολογ ολογο λογου ογουν γουντ ουντα υντα> <ἐπ ἐπε πει ειδ ιδη δη> <ἐπε ἐπει πειδ ειδη ιδη> <ἐπει ἐπειδ πειδη ειδη> <οὐ οὐκ ὐκ> <οὐκ οὐκ> <οὐκ> <ἀπ ἀπο ποκ οκρ κρι ριν ινῃ νῃ> <ἀπο ἀποκ ποκρ οκρι κριν ρινῃ ινῃ> <ἀποκ ἀποκρ ποκρι οκριν κρινῃ ρινῃ>	plato
 <οὐ οὐδ ὐδε δεν εν> <οὐδ οὐδε ὐδεν δεν> <οὐδε οὐδεν ὐδεν> <γα γαρ αρ> <γαρ γαρ> <γαρ> <κω κωλ ωλυ λυε υει ει> <κωλ κωλυ ωλυε λυει υει> <κωλυ κωλυε ωλυει λυει> <δι δια ιαμ αμυ μυθ υθο θολ ολο λογ ογη γησ ησα σαι αι> <δια διαμ ιαμυ αμυθ μυθο υθολ θολο ολογ λογη ογησ γησα ησαι σαι> <διαμ διαμυ ιαμυθ αμυθο μυθολ υθολο θολογ ολογη λογησ ογησα γησαι ησαι> <πρ προ ρος ος> <προ προς ρος> <προς προς> <ἀλ ἀλλ λλη ληλ ηλο λου ους υς> <ἀλλ ἀλλη λληλ ληλο ηλου λους ους> <ἀλλη ἀλληλ λληλο ληλου ηλους λους> <ἑω ἑως ως> <ἑως ἑως> <ἑως> <ἐξ ἐξε ξεσ εστ στι τιν ιν> <ἐξε ἐξεσ ξεστ εστι στιν τιν> <ἐξεσ ἐξεστ ξεστι εστιν στιν>	plato
 <ἐμ ἐμο μοι οι> <ἐμο ἐμοι μοι> <ἐμοι ἐμοι> <δε δε> <δε>  <τι τι> <τι>  <πρ προ ροσ οση σηκ ηκε κει ει> <προ προσ ροση οσηκ σηκε ηκει κει> <προσ προση ροσηκ οσηκε σηκει ηκει> <νυ νυν υν> <νυν νυν> <νυν> <με μει ειο ιον ον> <μει μειο ειον ιον> <μειο μειον ειον> <φρ φρο ρον ονε νει ειν ιν> <φρο φρον ρονε ονει νειν ειν> <φρον φρονε ρονει ονειν νειν> <ἠ>   <πρ πρι ριν ιν> <πρι πριν ριν> <πριν πριν> <κα κατ ατα τακ ακρ κρι ριθ ιθη θην ηνα ναι αι> <κατ κατα ατακ τακρ ακρι κριθ ριθη ιθην θηνα ηναι ναι> <κατα κατακ ατακρ τακρι ακριθ κριθη ριθην ιθηνα θηναι ηναι> <μη μηδ ηδε δεν εν> <μηδ μηδε ηδεν δεν> <μηδε μηδεν ηδεν> <ἐλ ἐλε λεγ εγχ γχθ χθε θεν εντ ντι τι> <ἐλε ἐλεγ λεγχ εγχθ γχθε χθεν θεντ εντι ντι> <ἐλεγ ἐλεγχ λεγχθ εγχθε γχθεν χθεντ θεντι εντι> <ὡς ὡς> <ὡς>  <πε πεπ επο ποι οιη ιηκ ηκα κα> <πεπ πεπο εποι ποιη οιηκ ιηκα ηκα> <πεπο πεποι εποιη ποιηκ οιηκα ιηκα> <τι τι> <τι>  <ὡν ὡν> <ὡν>  <ἐγ ἐγρ γρα ραψ αψα ψαν αντ ντο το> <ἐγρ ἐγρα γραψ ραψα αψαν ψαντ αντο ντο> <ἐγρα ἐγραψ γραψα ραψαν αψαντ ψαντο αντο> <με με> <με> 	xenophon
 <τι τι> <τι>  <πο ποτ οτε τε> <ποτ ποτε οτε> <ποτε ποτε> <λε λεγ εγε γει ει> <λεγ λεγε εγει γει> <λεγε λεγει εγει> <ὁ>   <θε θεο εος ος> <θεο θεος εος> <θεος θεος> <κα και αι> <και και> <και> <τι τι> <τι>  <πο ποτ οτε τε> <ποτ ποτε οτε> <ποτε ποτε> <αἰ αἰν ἰνι νιτ ιττ ττε τετ ετα ται αι> <αἰν αἰνι ἰνιτ νιττ ιττε ττετ τετα εται ται> <αἰνι αἰνιτ ἰνιττ νιττε ιττετ ττετα τεται εται>	plato
 <ὡς ὡς> <ὡς>  <μο μοχ οχθ χθη θηρ ηρο ρος ος> <μοχ μοχθ οχθη χθηρ θηρο ηρος ρος> <μοχθ μοχθη οχθηρ χθηρο θηρος ηρος> <οὑ οὑτ ὑτο τος ος> <οὑτ οὑτο ὑτος τος> <οὑτο οὑτος ὑτος> <ἐφ ἐφη φη> <ἐφη ἐφη> <ἐφη> <ὁς ὁς> <ὁς>  <οὐ οὐκ ὐκ> <οὐκ οὐκ> <οὐκ> <ἐο ἐοι οικ ικε κεν εν> <ἐοι ἐοικ οικε ικεν κεν> <ἐοικ ἐοικε οικεν ικεν> <εἰ εἰδ ἰδε δεν ενα ναι αι> <εἰδ εἰδε ἰδεν δενα εναι ναι> <εἰδε εἰδεν ἰδενα δεναι εναι> <ὁτ ὁτι τι> <ὁτι ὁτι> <ὁτι> <ὁπ ὁπο ποτ οτε τερ ερο ρος ος> <ὁπο ὁποτ ποτε οτερ τερο ερος ρος> <ὁποτ ὁποτε ποτερ οτερο τερος ερος> <ἡμ ἡμω μων ων> <ἡμω ἡμων μων> <ἡμων ἡμων> <κα και αι> <και και> <και> <συ συμ υμφ μφο φορ ορω ρωτ ωτε τερ ερα ρα> <συμ συμφ υμφο μφορ φορω ορωτ ρωτε ωτερ τερα ερα> <συμφ συμφο υμφορ μφορω φορωτ ορωτε ρωτερ ωτερα τερα> <κα και αι> <και και> <και> <κα καλ αλλ λλι λιω ιω> <καλ καλλ αλλι λλιω λιω> <καλλ καλλι αλλιω λλιω> <εἰ εἰς ἰς> <εἰς εἰς> <εἰς> <το τον ον> <τον τον> <τον> <ἀε ἀει ει> <ἀει ἀει> <ἀει> <χρ χρο ρον ονο νον ον> <χρο χρον ρονο ονον νον> <χρον χρονο ρονον ονον> <δι δια ιαπ απε πεπ επρ πρα ρακ ακτ κτα ται αι> <δια διαπ ιαπε απεπ πεπρ επρα πρακ ρακτ ακτα κται ται> <διαπ διαπε ιαπεπ απεπρ πεπρα επρακ πρακτ ρακτα ακται κται> <οὑ οὑτ ὑτο τος ος> <οὑτ οὑτο ὑτος τος> <οὑτο οὑτος ὑτος> <ἐσ ἐστ στι τι> <ἐστ ἐστι στι> <ἐστι ἐστι> <κα και αι> <και και> <και> <ὁ>   <νι νικ ικω κων ων> <νικ νικω ικων κων> <νικω νικων ικων>	xenophon
 <πα παρ αρα ραμ αμυ μυθ υθε θει ειτ ιτα ται αι> <παρ παρα αραμ ραμυ αμυθ μυθε υθει θειτ ειτα ιται ται> <παρα παραμ αραμυ ραμυθ αμυθε μυθει υθειτ θειτα ειται ιται> <δʼ δʼ> <δʼ>  <ἐτ ἐτι τι> <ἐτι ἐτι> <ἐτι> <με με> <με>  <κα και αι> <και και> <και> <Πα Παλ αλα λαμ αμη μηδ ηδη δης ης> <Παλ Παλα αλαμ λαμη αμηδ μηδη ηδης δης> <Παλα Παλαμ αλαμη λαμηδ αμηδη μηδης ηδης> <ὁ>   <πα παρ αρα ραπ απλ πλη λησ ησι σιω ιως ως> <παρ παρα αραπ ραπλ απλη πλησ λησι ησιω σιως ιως> <παρα παραπ αραπλ ραπλη απλησ πλησι λησιω ησιως σιως> <ἐμ ἐμο μοι οι> <ἐμο ἐμοι μοι> <ἐμοι ἐμοι> <τε τελ ελε λευ ευτ υτη τησ ησα σας ας> <τελ τελε ελευ λευτ ευτη υτησ τησα ησας σας> <τελε τελευ ελευτ λευτη ευτησ υτησα τησας ησας>	xenophon
 <κα και αι> <και και> <και> <γα γαρ αρ> <γαρ γαρ> <γαρ> <ὑμ ὑμε μει εις ις> <ὑμε ὑμει μεις εις> <ὑμει ὑμεις μεις> <ἐκ ἐκε κει ειν ινω νων ων> <ἐκε ἐκει κειν εινω ινων νων> <ἐκει ἐκειν κεινω εινων ινων> <πρ προ ροτ οτε τερ ερο ρον ον> <προ προτ ροτε οτερ τερο ερον ρον> <προτ προτε ροτερ οτερο τερον ερον> <ἠκ ἠκο κου ουσ υσα σατ ατε τε> <ἠκο ἠκου κουσ ουσα υσατ σατε ατε> <ἠκου ἠκουσ κουσα ουσατ υσατε σατε> <κα κατ ατη τηγ ηγο γορ ορο ρου ουν υντ ντω των ων> <κατ κατη ατηγ τηγο ηγορ γορο ορου ρουν ουντ υντω ντων των> <κατη κατηγ ατηγο τηγορ ηγορο γορου ορουν ρουντ ουντω υντων ντων> <κα και αι> <και και> <και> <πο πολ ολυ λυ> <πολ πολυ ολυ> <πολυ πολυ> <μα μαλ αλλ λλο λον ον> <μαλ μαλλ αλλο λλον λον> <μαλλ μαλλο αλλον λλον> <ἠ>   <τω των ωνδ νδε δε> <των τωνδ ωνδε νδε> <τωνδ τωνδε ωνδε> <τω των ων> <των των> <των> <ὑσ ὑστ στε τερ ερο ρον ον> <ὑστ ὑστε στερ τερο ερον ρον> <ὑστε ὑστερ στερο τερον ερον>	plato
