Bootstrap,Train Accuracy,Test Accuracy,Apology Accuracy
0,0.943351149559021,0.8710910677909851,0.592380940914154
1,0.9536035656929016,0.8790827393531799,0.5980952382087708
2,0.9447413086891174,0.8783878087997437,0.5809523463249207
3,0.9279291033744812,0.8637943267822266,0.6228571534156799
4,0.9238889813423157,0.8714385628700256,0.5714285373687744
5,0.9392675757408142,0.8749131560325623,0.5485714077949524
6,0.9438724517822266,0.8776928782463074,0.584761917591095
7,0.9457405209541321,0.8811675310134888,0.5600000023841858
8,0.937616765499115,0.8766505122184753,0.6057142615318298
9,0.9445241093635559,0.8679639101028442,0.5942857265472412
