Bootstrap,Train Accuracy,Test Accuracy,Apology Accuracy
0,0.9409183859825134,0.887769341468811,0.630476176738739
1,0.926278293132782,0.8738707900047302,0.5980952382087708
2,0.9311438798904419,0.8884642720222473,0.6171428561210632
3,0.9545158743858337,0.8832523226737976,0.6038095355033875
4,0.8983883261680603,0.8686588406562805,0.5657142996788025
5,0.9459577202796936,0.8853370547294617,0.6342856884002686
6,0.9247143864631653,0.8738707900047302,0.5790476202964783
7,0.9250184893608093,0.8780403137207031,0.6133333444595337
8,0.9360963106155396,0.8829048275947571,0.6095237731933594
9,0.9237152338027954,0.8794301748275757,0.5809523463249207
