Bootstrap,Train Accuracy,Test Accuracy,Apology Accuracy
0,0.8999956846237183,0.837734580039978,0.5447618961334229
1,0.9354881048202515,0.8589298725128174,0.5885714292526245
2,0.9202832579612732,0.8450313210487366,0.47809523344039917
3,0.9247143864631653,0.8592773079872131,0.5733333230018616
4,0.9047743082046509,0.8353023529052734,0.43809524178504944
5,0.9035579562187195,0.8321751356124878,0.5428571105003357
6,0.9220209717750549,0.8474635481834412,0.6190476417541504
7,0.9348364472389221,0.8425990343093872,0.5999999642372131
8,0.9447413086891174,0.8533704280853271,0.5314285755157471
9,0.9241496324539185,0.8325226306915283,0.6361904740333557
